Date,Time,ns1:sex,ns1:lat,lat,Latitudes,ns1:lon,lon,Longitudes
25-08-1900,12:00:00,M,520900N,520900,52.09,0095659E,95659,0.956
25-08-1900,10:42:00,M,444400N,444400,44.44,0983100W,983100,-9.831
03-09-1900,19:00:00,M,515900N,515900,51.59,0055500E,55500,0.555
04-09-1900,11:45:00,M,555300N,555300,55.53,0041500W,41500,-0.415
08-09-1900,09:51:00,M,482700N,482700,48.27,0013000E,13000,0.13
09-09-1900,02:10:00,M,533000N,533000,53.3,0023300W,23300,-0.233
22-09-1900,17:15:00,M,425600N,425600,42.56,0721700W,721700,-7.217
03-10-1900,10:00:00,M,353600N,353600,35.36,0823300W,823300,-8.233
10-10-1900,03:25:00,F,385400N,385400,38.54,0770200W,770200,-7.702
10-10-1900,03:25:00,M,385400N,385400,38.54,0770200W,770200,-7.702
12-10-1900,11:05:24,M,372700N,372700,37.27,0975100W,975100,-9.751
19-10-1900,22:15:00,M,510500N,510500,51.05,0133800E,133800,1.338
26-10-1900,04:35:00,M,510159N,510159,51.01,0042800E,42800,0.428
26-10-1900,04:35:00,M,510200N,510200,51.02,0042800E,42800,0.428
30-10-1900,12:00:00,M,601000N,601000,60.1,0245800E,245800,2.458
14-11-1900,00:15:00,F,403800N,403800,40.38,0735600W,735600,-7.356
14-11-1900,00:15:00,M,403800N,403800,40.38,0735600W,735600,-7.356
21-11-1900,00:30:00,M,504959N,504959,50.49,0042000E,42000,0.42
25-11-1900,12:00:00,F,405400N,405400,40.54,0742500W,742500,-7.425
03-12-1900,12:00:00,M,481300N,481300,48.13,0162000E,162000,1.62
06-12-1900,12:00:00,F,422500N,422500,42.25,0714100W,714100,-7.141
06-12-1900,07:00:00,M,455200N,455200,45.52,0045100E,45100,0.451
11-12-1900,10:44:00,M,404200N,404200,40.42,0740000W,740000,-7.4
16-12-1900,06:00:00,M,510700N,510700,51.07,0065500E,65500,0.655
19-12-1900,07:00:00,M,491500N,491500,49.15,0065000E,65000,0.65
23-12-1900,20:00:00,F,445000N,445000,44.5,0003400W,3400,-0.034
23-12-1900,20:00:00,M,445000N,445000,44.5,0003400W,3400,-0.034
23-12-1900,13:30:00,F,414300N,414300,41.43,0710600W,710600,-7.106
29-12-1900,21:30:00,F,422000N,422000,42.2,0830300W,830300,-8.303
09-01-1901,21:51:00,F,490600N,490600,49.06,0070300E,70300,0.703
09-01-1901,21:51:00,M,490600N,490600,49.06,0070300E,70300,0.703
12-01-1901,09:00:00,F,485200N,485200,48.52,0100600E,100600,1.006
13-01-1901,01:00:00,M,385200N,385200,38.52,0862900W,862900,-8.629
14-01-1901,16:30:00,F,324700N,324700,32.47,0964900W,964900,-9.649
14-01-1901,16:30:00,M,324700N,324700,32.47,0964900W,964900,-9.649
16-01-1901,05:48:00,M,205800N,205800,20.58,0754300W,754300,-7.543
19-01-1901,18:00:00,M,481100N,481100,48.11,0062700E,62700,0.627
01-02-1901,05:30:00,M,401600N,401600,40.16,0810000W,810000,-8.1
02-02-1901,03:00:00,F,544100N,544100,54.41,0251900E,251900,2.519
02-02-1901,03:00:00,M,544100N,544100,54.41,0251900E,251900,2.519
03-02-1901,01:00:00,M,514500N,514500,51.45,0003200W,3200,-0.032
08-02-1901,01:51:00,F,431900N,431900,43.19,0003400W,3400,-0.034
16-02-1901,04:40:00,F,510900N,510900,51.09,0145900E,145900,1.459
16-02-1901,04:45:00,M,510900N,510900,51.09,0145900E,145900,1.459
16-02-1901,04:45:00,F,510900N,510900,51.09,0145900E,145900,1.459
20-02-1901,10:00:00,F,490000N,490000,49,0022100E,22100,0.221
27-02-1901,13:00:00,M,435500N,435500,43.55,0105400E,105400,1.054
28-02-1901,12:00:00,M,453125N,453125,45.31,1224030E,1224030,12.24
04-03-1901,01:00:00,F,395700N,395700,39.57,0751000W,751000,-7.51
10-03-1901,08:00:00,F,511300N,511300,51.13,0042600E,42600,0.426
14-03-1901,15:00:00,M,462100N,462100,46.21,0023600E,23600,0.236
18-03-1901,06:02:00,F,441759N,441759,44.17,0781859E,781859,7.818
18-03-1901,05:00:00,M,433900N,433900,43.39,0792300W,792300,-7.923
18-03-1901,05:00:00,F,433900N,433900,43.39,0792300W,792300,-7.923
21-03-1901,09:50:00,M,385000N,385000,38.5,1044900W,1044900,-0.449
23-03-1901,07:35:00,M,404200N,404200,40.42,0740000W,740000,-7.4
26-03-1901,16:13:00,F,433500N,433500,43.35,0835300W,835300,-8.353
26-03-1901,16:13:00,M,433500N,433500,43.35,0835300W,835300,-8.353
27-03-1901,20:51:00,F,440800N,440800,44.08,0040500E,40500,0.405
27-03-1901,12:00:00,M,341000N,341000,34.1,1312900E,1312900,13.129
27-03-1901,20:51:00,M,440800N,440800,44.08,0040500E,40500,0.405
02-04-1901,20:40:00,M,444500N,444500,44.45,0102700E,102700,1.027
08-04-1901,05:00:00,M,485200N,485200,48.52,0022000E,22000,0.22
13-04-1901,14:30:00,F,485200N,485200,48.52,0022000E,22000,0.22
13-04-1901,14:30:00,M,485200N,485200,48.52,0022000E,22000,0.22
16-04-1901,22:00:00,M,134500N,134500,13.45,0893000W,893000,-8.93
29-04-1901,22:10:00,F,354200N,354200,35.42,1394600E,1394600,13.946
